수집시간,매물유형,매물ID,거래유형,방유형,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),면적(m2),평,층,제목,URL
2026-09-06 07:52:45,원룸,50225285,월세,01,제주도 서귀포시 대정읍 구억리,서귀포시,대정읍,300,45,0,40,12.1,3,대정영어마을인근.깨끗넓은원룸.풀옵션.월세.반려동물가능,https://www.zigbang.com/home/apt/items/50225285
2026-09-06 07:52:46,원룸,50243873,월세,01,제주도 제주시 한림읍 금능리,제주시,한림읍,300,60,0,30.04,9.09,4,금능해수욕장인근 풀옵션 원룸 브리타니,https://www.zigbang.com/home/apt/items/50243873
2026-09-06 07:52:46,원룸,50013348,월세,02,제주도 서귀포시 중문동,서귀포시,중문동,200,39,0,49.6,15.0,저,단기가능.풀옵션 1.5룸,https://www.zigbang.com/home/apt/items/50013348
2026-09-06 07:52:46,원룸,50013446,월세,02,제주도 서귀포시 중문동,서귀포시,중문동,200,45,0,60.03,18.16,5,"방,거실 분리형",https://www.zigbang.com/home/apt/items/50013446
2026-09-06 07:52:46,원룸,50160479,월세,01,제주도 서귀포시 중문동,서귀포시,중문동,200,38,0,43.63,13.2,7,고층.테라스창고사용가능.중문 관광단지 인근 풀옵션 원룸,https://www.zigbang.com/home/apt/items/50160479
2026-09-06 07:52:46,원룸,50160490,월세,02,제주도 서귀포시 중문동,서귀포시,중문동,200,45,0,49.6,15.0,4,바다뷰 풀옵션 분리형 원룸,https://www.zigbang.com/home/apt/items/50160490
2026-09-06 07:52:46,원룸,50160611,월세,01,제주도 서귀포시 중문동,서귀포시,중문동,200,33,0,40.93,12.38,중,테라스 풀옵션 원룸,https://www.zigbang.com/home/apt/items/50160611
2026-09-06 07:52:46,원룸,50190994,월세,01,제주도 서귀포시 중문동,서귀포시,중문동,200,35,0,37.5,11.34,7,테라스 있음. 확트인 한라산 경관. 자주식 주차. 클린하우,https://www.zigbang.com/home/apt/items/50190994
2026-09-06 07:52:46,원룸,50191016,월세,02,제주도 서귀포시 중문동,서귀포시,중문동,200,45,0,49.6,15.0,6,남향 바다경관 최상. 분리형 1.5룸 방 거실 넓음,https://www.zigbang.com/home/apt/items/50191016
2026-09-06 07:52:46,원룸,50239480,월세,01,제주도 서귀포시 중문동,서귀포시,중문동,200,30,0,40.93,12.38,7,테라스 있음. 클린하우스 코인세탁방 헬스클럽 골프퍼팅장,https://www.zigbang.com/home/apt/items/50239480
2026-09-06 07:52:46,원룸,50261766,월세,01,제주도 서귀포시 중문동,서귀포시,중문동,300,35,0,24,7.26,2,"중문 성당 인근, 풀옵션, 서향, 베란다",https://www.zigbang.com/home/apt/items/50261766
2026-09-06 07:52:46,원룸,50289659,월세,02,제주도 서귀포시 중문동,서귀포시,중문동,200,40,0,47.82,14.47,8,맨윗층. 분리형 1.5룸 방 거실 넓음. 맨윗층. 동향,https://www.zigbang.com/home/apt/items/50289659
2026-09-06 07:52:46,원룸,50239725,전세,02,제주도 서귀포시 대포동,서귀포시,대포동,9500,0,0,52.41,15.85,3,"분리형 1,5룸 방 거실 넓음. 풀옵션. 시스템 에어컨.",https://www.zigbang.com/home/apt/items/50239725
2026-09-06 07:52:46,원룸,50272100,월세,03,제주도 서귀포시 도순동,서귀포시,도순동,200,38,0,26.45,8.0,옥탑방,도순동 한적하고 오션뷰 복층형 원룸,https://www.zigbang.com/home/apt/items/50272100
2026-09-06 07:52:46,원룸,50070768,월세,02,제주도 서귀포시 강정동,서귀포시,강정동,200,45,0,33.05,10.0,2,법환초등학교 부근 깔끔하고 살기 좋은 1.5룸,https://www.zigbang.com/home/apt/items/50070768
2026-09-06 07:52:46,원룸,50221326,월세,01,제주도 서귀포시 법환동,서귀포시,법환동,200,40,0,29.75,9.0,5,3개월 단기 계약 가능하며 바다가보이는 정남,https://www.zigbang.com/home/apt/items/50221326
2026-09-06 07:52:46,원룸,50221373,월세,01,제주도 서귀포시 법환동,서귀포시,법환동,200,30,0,29.75,9.0,2,깨끗하고 저렴한 원룸,https://www.zigbang.com/home/apt/items/50221373
2026-09-06 07:52:46,원룸,50232247,월세,01,제주도 서귀포시 강정동,서귀포시,강정동,200,40,0,24,7.26,10,베란다가 있는 원룸,https://www.zigbang.com/home/apt/items/50232247
