수집시간,매물유형,매물ID,거래유형,상가업종,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),권리금(만원),면적(m2),평,층,제목,URL
2026-06-09 08:01:58,상가사무실,928817,임대,기타,제주특별자치도,서귀포시,안덕면,4000,350,0,9500,1157.02,350.0,반지하층,제주국제학교인근 프리미엄실내골프연습장개인레슨스튜디오,https://www.zigbang.com/home/store/items/928817
2026-06-09 08:02:00,상가사무실,926428,임대,퓨전/쌀국수,제주특별자치도,서귀포시,서귀동,3000,260,0,0,188.43,57.0,2층,거주가능.단독마다포함임대.감성자리.상업지역,https://www.zigbang.com/home/store/items/926428
2026-06-09 08:02:10,상가사무실,902197,임대,카페/커피,제주특별자치도,제주시,삼도일동,500,42,0,2500,26.45,8.0,1층,제주시 전농로 왕벚꽃 메인거리,https://www.zigbang.com/home/store/items/902197
2026-06-09 08:10:09,상가사무실,913721,임대,카페/커피,광주광역시,광산구,월전동,2000,150,0,0,125.62,38.0,1층,유동인구 최고위치! 1층 카페 임대-바로 영업 가능,https://www.zigbang.com/home/store/items/913721
2026-06-09 08:10:09,상가사무실,613265,임대,기타,광주광역시,광산구,선암동,2000,120,0,0,264.5,80.01,2층,아파트 밀집 지역에 위치한 선암동 상가 공실,https://www.zigbang.com/home/store/items/613265
2026-06-09 08:10:09,상가사무실,729996,임대,기타,광주광역시,광산구,월전동,3000,350,0,0,115.2,34.85,1층,월전동 층고 높고 넓은 평수의 다용도  1층 상가,https://www.zigbang.com/home/store/items/729996
2026-06-09 08:10:09,상가사무실,729997,임대,기타,광주광역시,광산구,월전동,1500,105,0,0,115.2,34.85,2층,"월전동 넓은 평수의 다용도 가능한  2층 상가, 사무실",https://www.zigbang.com/home/store/items/729997
2026-06-09 08:10:09,상가사무실,744983,임대,치킨/닭요리,광주광역시,광산구,선암동,2000,120,0,0,82,24.8,1층,선암동  대로변 1층 상가,https://www.zigbang.com/home/store/items/744983
2026-06-09 08:10:10,상가사무실,918667,임대,사무실,광주광역시,광산구,송정동,1000,55,0,0,109.09,33.0,3층,완전 깨끗한 사무실,https://www.zigbang.com/home/store/items/918667
2026-06-09 08:10:10,상가사무실,890517,임대,한식/고기집,광주광역시,광산구,송정동,500,55,0,2500,66,19.96,1층,광주 광산구의 주택가에 위치한 배달 전문 고기집 임대,https://www.zigbang.com/home/store/items/890517
2026-06-09 08:10:10,상가사무실,878323,임대,기타,광주광역시,광산구,소촌동,2000,140,0,0,274.32,82.98,2층,"무권리, 광산구 소촌동, 즉시입주가능한 2,3층 상가",https://www.zigbang.com/home/store/items/878323
2026-06-09 08:10:10,상가사무실,878321,임대,기타,광주광역시,광산구,소촌동,1000,70,0,0,135.13,40.88,3층,"무권리, 광산구 소촌동, 즉시입주가능한 3층 상가",https://www.zigbang.com/home/store/items/878321
